created_at,entry_id,field1,field2
2020-11-19 12:34:11 CAT,317,32.6,"30.00

"
2020-11-19 12:34:27 CAT,318,32.6,"30.00

"
2020-11-19 12:34:57 CAT,319,32.6,"30.00

"
2020-11-19 12:35:12 CAT,320,32.6,"30.00

"
2020-11-19 12:35:28 CAT,321,32.6,"30.00

"
2020-11-19 12:35:43 CAT,322,33,"30.00

"
2020-11-19 12:35:58 CAT,323,33,"30.00

"
2020-11-19 12:36:31 CAT,324,33,"31.00

"
2020-11-19 12:36:47 CAT,325,32.6,"30.00

"
2020-11-19 12:37:02 CAT,326,32.6,"31.00

"
2020-11-19 12:37:48 CAT,327,32.6,"30.00

"
2020-11-19 12:38:34 CAT,328,32.6,"30.00

"
2020-11-19 12:38:49 CAT,329,32.6,"30.00

"
2020-11-19 12:39:04 CAT,330,32.6,"30.00

"
2020-11-19 12:39:20 CAT,331,32.6,"31.00

"
2020-11-19 12:39:35 CAT,332,32.6,"31.00

"
2020-11-19 12:39:50 CAT,333,32.6,"31.00

"
2020-11-19 12:40:57 CAT,334,32.6,"31.00

"
2020-11-19 12:41:27 CAT,335,33,"31.00

"
2020-11-19 12:41:42 CAT,336,32.6,"31.00

"
2020-11-19 12:41:58 CAT,337,33,"31.00

"
2020-11-19 12:42:13 CAT,338,32.6,"31.00

"
2020-11-19 12:42:45 CAT,339,32.6,"31.00

"
2020-11-19 12:43:00 CAT,340,32.6,"30.00

"
2020-11-19 12:43:15 CAT,341,32.6,"30.00

"
2020-11-19 12:43:31 CAT,342,32.6,"30.00

"
2020-11-19 12:43:46 CAT,343,32.6,"31.00

"
2020-11-19 12:44:01 CAT,344,33,"31.00

"
2020-11-19 12:44:16 CAT,345,32.6,"31.00

"
2020-11-19 12:44:31 CAT,346,32.6,"32.00

"
2020-11-19 12:44:47 CAT,347,32.6,"31.00

"
2020-11-19 12:45:02 CAT,348,32.6,"31.00

"
2020-11-19 12:45:17 CAT,349,32.6,"31.00

"
2020-11-19 12:45:36 CAT,350,32.6,"32.00

"
2020-11-19 12:45:51 CAT,351,32.6,"31.00

"
2020-11-19 12:46:06 CAT,352,32.6,"31.00

"
2020-11-19 12:46:21 CAT,353,32.6,"31.00

"
2020-11-19 12:46:36 CAT,354,32.6,"31.00

"
2020-11-19 12:46:51 CAT,355,32.6,"31.00

"
2020-11-19 12:47:07 CAT,356,32.6,"31.00

"
2020-11-19 12:47:22 CAT,357,32.6,"31.00

"
2020-11-19 12:47:37 CAT,358,32.6,"31.00

"
